// # Language: German
altar_category_armor|Rüstung
altar_category_key_items|Key Items
altar_category_materials|Materialien
altar_category_weapon|Waffen
altar_title|Altar
barracks_depart|Mit diesen Truppen aufbrechen?
barracks_lvl|Lvl
barracks_stat_attackspeed|Angriffsgeschw.
barracks_stat_burnchance|Verbrennrate
barracks_stat_critchance|Kritrate
barracks_stat_damage|Schaden
barracks_stat_exp|EXP
barracks_stat_freezechance|Einfrierrate
barracks_stat_hp|LP
barracks_stat_knockbackchance|Rückstoßrate
barracks_stat_level|Level
barracks_stat_staggerchance|Taumelrate
barracks_unit_status|Einheitsstatus
barracks_yaripon|Yaripon
credits_all|Und alle, die das Projekt unterstützt haben! Herzlichen Dank!
credits_animators|Animation
credits_artists|Grafikgestaltung
credits_community|Community
credits_creator|Projekt Gründer
credits_gameplay|Gameplay Balance
credits_musicians|Musik und Sound
credits_programmers|Programmierung
credits_special|Besonderer Dank
credits_supporters|Supporter
credits_translators|Übersetzung
credits_writers|Story
desc_banal_branch|Ein banaler Ast. Obwohl es nur ein einfaches Stück Holz ist, hat es für viele Patapon unzählige Verwendungen, wie beispielsweise als Griff für eine Axt oder eine Zeltstange. 
desc_chaka_drum|Die heilige Trommel der Weisheit.
desc_cherry_blossom|Legenden zufolge ist dieser Hartholz-Ast ein Teil der kolossalen Kirschbäume, welche im fernen Osten als ruhende Götter angesehen werden.
desc_christmas_charm_2020|Solange dieser Talisman in deinem Inventar ist wird er dir das gesamte Jahr lang Glück bringen! Vielen Dank für die Teilnahme am Patafour Winter Event 2020!
desc_digital_blueprint|Ein Bauplan, der in einer Kirajin Hütte innerhalb des Patapine Hain gefunden wurde. Die Daten weisen auf eine Kirajin Festung hin, welche bald errichtet werden soll.
desc_don_drum|Die heilige Trommel der Wunder. Es heißt, der Klang dieser Trommel hat die Macht den Willen des Allmächtigen Form zu geben.
desc_dream_meat|Dieses legendäre marmorierte Fleisch schmilzt wie Zuckerwatte im Mund, Patapons bevorzugen aber eine herzhaftere Mahlzeit. Patapons, die diese Delikatesse jeden Tag genießen dürfen, sind ein glückliches und friedliches Leben garantiert.
desc_gashirin_bone|Ein großer, robuster Knochen. Laut Schriften haben die Patapon Vorfahren diese Knochen als Waffen benutzt.
desc_gizaza_fang|Die Spitze dieses Reißzahns enthält unzählige kleine Widerhaken. Jeder, der von diesem Zahn durchbohrt wird, zahlt einen schrecklichen Preis, wenn er versucht, ihn zu entfernen. Selbst die erfahrensten Patapon-Mediziner kämpfen darum, diesen Reißzahn aus Jemanden zu bekommen.
desc_hard_iron|Zigoton Mythen zufolge wurde viel Blut aufgrund dieses seltenen Metalls vergossen. Patapon Geschichten erzählen davon, wie Vorfahren dieses Eisen aus den Tiefen des Berges gewonnen haben, jedoch gingen diese Geheimnisse über die Zeit verloren.
desc_hinoki|Legenden besagen, dass sogar das Zuhause des großen Patapon aus diesem heiligen Hinoki-Bauholz besteht. Patapons fühlen sich erleichtert und ausgeruht, wenn sie Zeit in Gebäuden aus diesem kostbaren Holz verbringen.
desc_iron_helmet|Ein Helm geschmiedet aus wertvollem Eisen. Er imitiert das Design seines hölzernem Bruders, bietet aber mehr Schutz.
desc_iron_spear|Ein zäher, eiserner Speer. Patapon schätzen sie, da sie schwerer sind und mehr Schaden anrichten, jedoch können nur starke und erfahrene Krieger diese Speere kompetent nutzen.
desc_itete_fang|Ein großer Reißzahn mit einer sehr scharfen Spitze. Es wird gesagt, dass man die wahren Fähigkeiten eines Jägers daran messen kann, wie viele dieser Reißzähne er aus seinem Nacken ziehen musste.
desc_kacheek_helm|Dieser Helm, gestaltet mit dem Pelz und Fell eines Kacheeks, schützt den Träger vor Gefahren. Zudem hält er das Auge des Trägers warm und gemütlich.
desc_kacheek_spear|Ein Speer geschmiedet aus dem scharfen Stoßzahn eines Kacheek. Er ist scharf genug um ein Loch in Schilde zu schlagen um kritischen Schaden zu verursachen.
desc_keepsake|Hatapon’s Andenken. Es hat Hatapon stets getröstet und Hoffnung gegeben, dass der Allmächtige in der dunkelsten Stunde zurückkehren wird.
desc_kirajin_helmet1|Ein dreieckiger Helm aus ungewöhnlichem Material, welches wie an eine Art Eisen wirkt. Er verleiht Kriegern, die ihn tragen, ungewöhnliche Eigenschaften und sorgt für erhöhte LP, sowie verursachten Schaden.
desc_kirajin_spear1|Ein Speer aus ungewöhnlichem Material, das wie eine Art Eisen wirken. Die Spitze ist unglaublich scharf, man könnte seinen Finger durch selbst die kleinste Berührung verletzen.
desc_kuneri_fang|Ein prächtiger, gebogener Reißzahn. Er kann geschärft werden um dann als Schneide einer Waffe benutzt zu werden, hat aber auch seine Zwecke in anderer Ausrüstung.
desc_leather_meat|Die ältere Generation erzählt den jungen an Angehörigen: “Wenn es euren Magen füllt, beschwert euch nicht!”. Im laufe der Zeit lernen diese dann es zu verzehren.
desc_mudada_bone|Ein gebleichter Knochen, offenbar von einem kleinen Tier. Sie werden oft während der Jagd im Gras oder in einem Magen größerer Tiere gefunden.
desc_none|Eine leere Ecke des Patapon Altar mit lediglich Kerzen und Weihrauch.
desc_pata_drum|Die heilige Trommel der Stärke. Hatapon beschützte diese Trommel stets mit seinem Leben.
desc_pon_drum|Die heilige Trommel der Tapferkeit. Sie wurde erhalten, nachdem der Patapon Gott seinen Schwur geleistet hat.
desc_rappata_helm|Dieser Helm, gefertigt aus Rappata Fell erleichtert die Bewegung erheblich und schützt vor Kälte.
desc_rappata_spear|Ein sehr scharfer Speer gefertigt aus den Knochen gejagter Rappatas. Es ist unglaublich leicht und hat die Fähigkeit mehrere Ziele zu durchdringen.
desc_santa_hat|Diese kuschelige Mütze, die von Patapon-Omas gestrickt wurde, verleiht denjenigen, die sie tragen, viel Freude und Wärme. Gewährt enormen Schutz vor Kälte.
desc_scorching_spear|Die Magie, die auf diesen Speer wirkt, lässt seine Spitze in Flammen aufgehen. Fügt schweren Schaden zu und setzt Feinde in Brand. Die Feinde werden nach gebratenem Rindfleisch riechen.
desc_shubaba_mask|Helden-Maske des Phantom-Schlages. Er verleiht einen kleinen Teil der Macht des großen Shubabassa und erlaubt dem Träger schneller als andere Krieger zu kämpfen.
desc_small_rock|Ein einfacher Stein. Voll mit Unreinheiten aber unersetzlich für das Leben im Stamm. Patapon-Kinder spielen oft Steinspringen damit.
desc_soggy_map|Eine Karte, welche in einer verbuddelten Schatztruhe im Shida Tal gefunden wurde. Auf ihr ist der Standort einer versteckten Festung markiert.
desc_steel_spear|Ein Speer mit einer geschärften Spitze, geschmiedet aus seltener Stahl-Legierung. Diese Speere sind um einiges leichter als Speere geschmiedet aus Eisen, verursachen aber deutlich mehr Schaden!
desc_strength_helmet|Dieser magische Helm, verziert mit roter Algenfarbe vom Vulkan Bovo, verstärkt die Angriffskraft erheblich.
desc_tender_meat|Patapons lieben dieses zarte, saftige Fleisch. Jedoch können sie es nur selten essen, selbst an ihrem Geburtstag.
desc_titanum_ore|Der Legende nach wurde dieses zähe, leichte Erz den Patapons von niemand anderem als dem Allmächtigen gewährt. Es kann ewig halten und ist ein perfektes Ausrüstungsmaterial für Klassen, die schnelle Bewegungen erfordern.
desc_wooden_helmet|Der traditionelle Holzhelm des Patapon Stammes. Es ist das Markenzeichen der Jagdgruppen und hat trotz des simplen Designs unzählige Leben gerettet.
desc_wooden_spear|Ein simpler, hölzerner Speer, der jedem Patapon Rekruten übergeben wird sobald sie alt genug sind der Jagd beizutreten. Geschätzt von jedem Patapon Krieger, selbst nachdem sie zu besseren Waffen gegriffen haben.
firstrun_dialog_1|Willkommen zur Patafour-Demo! \ Drücken Sie Z, um fortzufahren.
firstrun_dialog_2|Dies ist das erste Mal, dass du die Demo ausführst,\ hier sind daher einige grundlegende Informationen.
firstrun_dialog_3|Patafour ist ein Projekt, das aktiv entwickelt wird. \ Dies ist kein Endprodukt und noch lange nicht abgeschlossen.
firstrun_dialog_4|Diese Demo zeigt dir die meisten grundlegenden\Kernmechaniken, die wir bisher fertiggestellt haben.
firstrun_dialog_5|Das Patafour-Team hofft, dass dir unser kleines Projekt gefällt!
firstrun_dialog_6|Hier ist die Grundsteuerung: \ Z - Bestätigen (Kreuz) \ X - Abbrechen (Kreis) \ Enter - Start \ Leertaste - Auswählen
firstrun_dialog_7|Du kannst diese Einstellungen\im Optionsmenü ändern.
firstrun_dialog_8|Wir empfehlen die Verwendung eines\Controllers für die beste Erfahrung.
firstrun_dialog_9|Viel Spaß!
item_banal_branch|Banaler Ast
item_chaka_drum|Chaka-Trommel
item_cherry_blossom|Kirschbaum
item_christmas_charm_2020|Weihnachtstalisman 2020
