// ## MAIN MENU
menu_newgame|New game
menu_continue|Continue
menu_options|Options
menu_exit|Exit
menu_pressanykey|Press any key to start
menu_saveexists|There is an existing save data.\Do you want to overwrite it?
menu_nodata|No available save data found.
menu_nosupportdata|Save datas from older and development\Patafour versions are not supported.
menu_invaliddata|Save data is invalid or corrupted.

// ## OPTIONS
options_graphics|Graphics settings
options_audio|Audio settings
options_input|Input settings
options_language|Language settings
options_backtomain|Back to Main menu
options_back|Go back
options_graphics1|Screen resolution
options_graphics2|Texture quality
options_graphics3|Anti-aliasing
options_graphics4|Framerate limit
options_graphics5|Switch fullscreen
options_graphics6|Borderless window
options_unlimited|(unlimited)
options_quality_low|Low
options_quality_medium|Medium
options_quality_high|High
options_quality_ultra|Ultra
options_enable|Enable
options_disable|Disable
options_audio1|Master volume
options_audio2|Drum sounds
options_audio3|Patapon drum chants
options_audio4|Patapon responses
options_volume|Volume:
options_input1|Controller setup
options_input2|Keyboard bindings
options_input3|Timing configuration (experimental)
options_diff1|BEST hits
options_diff2|GOOD hits
options_diff3|BAD hits
options_input_setup1|Make sure your controller is connected to your PC. Press any button on your controller and it should appear in the middle of the screen.
options_input_setup2|Please press the left arrow key.
options_input_setup3|Please press the right arrow key.
options_input_setup4|Please press the down arrow key.
options_input_setup5|Please press the up arrow key.
options_input_setup6|Please press the key responsible for hitting the PATA drum. (Square)
options_input_setup7|Please press the key responsible for hitting the PON drum. (Circle)
options_input_setup8|Please press the key responsible for hitting the DON drum. (Cross)
options_input_setup9|Please press the key responsible for hitting the CHAKA drum. (Triangle)
options_input_setup10|Please press the key responsible for shifting camera to the left. (L trigger)
options_input_setup11|Please press the key responsible for shifting camera to the right. (R trigger)
options_input_setup12|Please press the equivalent of the Start button.
options_input_setup13|Please press the equivalent of the Select button.
options_input_setup14|All done! Your controller is now ready to play Patafour.
options_input_setup_notice| controller key successfully registered.
options_input_setup_again|Try again
options_input_setup_next|Next
options_input_setup_return|Return to options
options_language1|Change language
options_language_english|English
options_restart_notice|You need to restart your game to apply changes. Restart now?
options_restart_button1|Restart game
options_restart_button2|Revert changes
options_options|Options
options_ingame_btn|In-game button
options_assign_key|Assigned key
options_key|key
options_change_title|Changing assigned key for in-game button:
options_change_button|button
options_change_anykey|Press any key to assign it to the in-game button
options_tip1|Tip: Hover the assigned key with mouse or select it with arrow keys,\then press the Cross button to change it.\Press the Triangle button to remove the assigned key.\Use the numbers on the top of the menu to switch between keybind presets.
options_tip2|Tip: Press any key to return to the options menu.\New keybinds will be saved after you exit options menu.
options_tip3|Tip: Press the Start button on your keyboard to continue.\Press the Circle button to exit controller setup.
options_bigbutton|big button
options_audio1|Volume settings
options_volume1|Master volume: 
options_volume2|Sound volume: 
options_volume3|Music volume: 

// ## PATAPOLIS
patapolis|Patapolis
patapolis_trader|Marketplace
patapolis_blacksmith|Blacksmith
patapolis_barracks|Barracks
patapolis_tree|Mater, Tree of Life
patapolis_festival|Festival Square
patapolis_altar|Altar
patapolis_obelisk|Obelisk
patapolis_paraget|Paraget
patapolis_wakapon|Wakapon, the Guardian
patapolis_egg|World Egg
patapolis_returntomain|Do you want to return\to the Title screen?
patapolis_returntomainsave|Unsaved data will be lost.\Are you sure?
patapolis_save|Do you want to save your game?
patapolis_saved|Game has been saved.
patapolis_demofinish|Congratulations, you finished the demo!
patapolis_demo_pick1|Watch credits
patapolis_demo_pick2|Cancel
patapolis_sen|Sen Ranpurupon

// ## ALTAR
altar_title|Altar
altar_category_key_items|Key Items
altar_category_materials|Materials
altar_category_weapon|Weapon
altar_category_armor|Armour

// ## BARRACKS
barracks_yaripon|Yaripon
barracks_unit_status|Unit Status
barracks_stat_level|Level
barracks_stat_exp|Experience
barracks_stat_hp|HP
barracks_stat_damage|Damage
barracks_stat_attackspeed|Attack speed
barracks_stat_critchance|Crit chance
barracks_stat_knockbackchance|Knockback chance
barracks_stat_staggerchance|Stagger chance
barracks_stat_burnchance|Burn chance
barracks_stat_freezechance|Freeze chance
barracks_depart|Are you sure you want to depart?

// ## WORLD MAP
worldmap_header_1|Patapon World Map
worldmap_select|Select a quest
worldmap_location_locked|~ Locked ~
worldmap_location_1_title|~ Shida Valley ~
worldmap_location_1_description|The humid sea air blowing into this valley makes for a perfect habitat for plants of all kinds, allowing the native ferns to grow to tremendous heights! For generations, various tribes have used this fertile area as a place to hunt animals and gather wild vegetables. It's strange landscape of giant plants can be disorienting, and rumours persist of hidden secrets somewhere in the region.
worldmap_location_2_title|~ Patapine Grove ~
worldmap_location_2_description|The pine trees in this grove are well-known for their gargantuan height and sturdiness when used as a building material. Patapon lumberjacks are known to make a living here by cutting down these trees to use for construction. Rumor has it that fairies thrive off of the edible mushrooms within the depths of the forest.
worldmap_location_3_title|~ Ejiji Cliffs ~
worldmap_location_3_description|Ejiji Cliffs once saw the age of mighty dragons before they disappeared from their place of birth for reasons unknown to Rolitoland's inhabitants, and provides a good spot for building homes and fortresses hidden from plain sight alike. Gyaba Rarepons originate from this region and some still inhabit the cliffs to this day, but many of these Patapon lines have since then become widespread around the world.
worldmap_mission_1_title|Hunting in Shida Valley
worldmap_mission_1_description|Many animals gather in the valley for a chance to find edible plants and fungi. Use this opportunity to hunt the creatures to feed your Patapons! Rumors say that the valley holds an unknown treasure.
worldmap_mission_2_title|Fortress in the Woods
worldmap_mission_2_description|The Kirajins have established a foothold at the woody Patapine Grove! Using the sturdy wood from the surrounding trees, they’ve constructed a fortress. Gather your forces and take down the fortress while being wary of creatures from the forest!
worldmap_mission_3_title|Kirajin Fortress at Patapine Grove: Lv. 
worldmap_mission_3_description|The Kirajins may have been defeated once, but they’ve returned, stronger than ever before. They’re determined to hold this position no matter the cost. Defeat the fortress once more to hold the Kirajin forces back!
worldmap_mission_4_title|Advanced Armaments
