// # Language: Esperanto
altar_category_armor|Kiraso
altar_category_key_items|Ŝlosilaj eroj
altar_category_materials|Materialoj
altar_category_weapon|Bataliloj
altar_title|Altaro
barracks_depart|Ĉu vi estas certa ke vi volas foriri?
barracks_lvl|Nvl
barracks_stat_attackspeed|Rapido de atako
barracks_stat_burnchance|Ŝanco de bruligo
barracks_stat_critchance|Ŝanco de kritikigo
barracks_stat_damage|Damaĝo
barracks_stat_exp|Sperto
barracks_stat_freezechance|Ŝanco de frostigo
barracks_stat_hp|VP
barracks_stat_knockbackchance|Ŝanco de puŝigo
barracks_stat_level|Nivelo
barracks_stat_staggerchance|Ŝanco de vobligo
barracks_unit_status|Statuso de unuo
barracks_yaripon|Jaripono
credits_all|Kaj ĉiuj kiuj iam asistis la projekton! Dankon!
credits_animators|Animacistoj
credits_artists|Artistoj
credits_community|Manaĝistoj de komunumo
credits_creator|Kreinto de projekto
credits_gameplay|Ekvilibro de ludo
credits_musicians|Muzikistoj
credits_programmers|Programistoj
credits_special|Speciala danko
credits_supporters|Helpantoj
credits_translators|Tradukistoj
credits_writers|Verkistoj
desc_banal_branch|Baza ligna branĉo. Kvankam ĝi eble estas simplan fragmenton de ligno, entreprena Patapono povas trovi multe da uzoj kun ili, de tenilo ĝis stango por tendo.
desc_chaka_drum|Bonega Tamburo de Saĝo.
desc_cherry_blossom|Laŭ legendo, la antikvaj kolosaj ĉerizaj arboj de kie tiu malmola ligna branĉo devenas en la oriento, estas ripozaj dioj.
desc_christmas_charm_2020|Tenado de ĉi tiu ĉarmo en via inventaro donas bonŝancon al vi por la tuta jaro! Dankon pro partoprenado en Patafour Vintra Evento 2020!
desc_digital_blueprint|Projekto trovita en Kiraĝina ĥato en Pata-pina Bosko. Ĝi vidigas la lokon de estonta konstruita Kiraĝina fortreso.
desc_don_drum|Bonega Tamburo de Mirakloj. Oni diris pri tiu tambura takto ke ĝi havas potencon de envenigado de ĉiopovista volo en estaĵo.
desc_dream_meat|Ĉi tiu legenda marmura viando fandas kiel sukervato, sed Pataponoj preferas pli sanan manĝon. Pataponoj kiuj gustumis ĉi tion bongustaĵon ĉiutage estas koncedita pro havado de feliĉaj kaj pacaj vivoj.
desc_gashirin_bone|Granda, malmola osto. Oni skribis ke niaj antikvaj prauloj unufoje uzis tiujn ostojn kiel bataliloj.
desc_gizaza_fang|La pinto de ĉi tiu dentego enhavas nenombreblajn malgrandetajn kontraŭhokojn. Iu ajn penetriĝita kun ĉi tio dentego estos pagi teruran koston provante detiri ĝin. Eĉ la plej ekzercitaj Pataponaj kuracistoj baraktas kun detirado de ĉi tio dentego de onia korpo.
desc_hard_iron|Multe da sango disverŝita en konfliktoj ĉirkaŭe tiu rara metalo laŭ Zigotonaj mitoj. Pataponaj rakontoj diras pri kiel prauloj prenis malmolan feron el interno de montoj, sed la sekreto por tio estas longe perdita.
desc_hinoki|Legendo diras ke eĉ hejmo de Ĉiopovisto estas konstruita de ĉi tio sankta Hinokia ligno. Pataponoj fartas senŝarĝiĝita kaj kuŝiĝita kiam ili venas en konstruaĵojn kiuj estas farita de ĉi tio kara ligno.
desc_iron_helmet|Tiu kasko, farita de valora fero, imitas la bazan dezajnon de la ligna kasko, sed ĝi donas pli protektadon.
desc_iron_spear|Malmola fera lanco. Pataponoj aprezas ilin ĉar ili estas pli peza kaj ili igas pli damaĝon. Tamen, ili bezonas pli forta batalisto por ĵetado kompetente.
desc_itete_fang|Grandega dentego kiu dekoras tre akran pinton. Oni diris delonge ke vi povas scii veran ekzercitecon de ĉasisto pro kiom da ilin li devis detiri el lia kolo.
desc_kacheek_helm|Tiu kasko, fasonita de la pelto kaj haroj de Kaĉik, gardas la uzulon sekure de damaĝo. Ĝi ankaŭ adas uzulan okulon sufiĉe da varmo kaj komforto.
desc_kacheek_spear|Lanco forĝita de la akra dentego de kaĉik. Ĝia akreco estas sufiĉa por trapiki ŝildojn, samtempe ili igas kritajn damaĝojn.
desc_keepsake|Hatapona memoraĵo. Ĝi ĉiam komfortas lin, kaj memorigas lin ke Ĉiopovisto venus en lia horo de la plej grandega bezono.
desc_kirajin_helmet1|Triangula kasko farita de nekonata materialo kiu oni kredis ke ĝi estas fero, provizas maloftajn atributojn al soldato kiu portas ĝin. Ĝi pliigas punktojn de vivo kaj pliigas atakon.
desc_kirajin_spear1|Lanco farita de malordinaraj materialoj kiu verŝajne estas fero. Pinto de ĝi estas nekredeble akra, oni povas penetri sian fingron nur kiam oni ĝentile tuŝas ĝin.
desc_kuneri_fang|Belega, kurbigita dentego. Ĝi povas esti ĉiziĝota por uzo kiel rando de tranĉo por batalilo, kaj ankaŭ servas bone kiel ekipaĵo.
desc_leather_meat|La grandaĝuloj diras al junaj Pataponoj, "Se ĝi plenigas vian stomakon, ne plendu" kaj ili ekscias manĝi tiun viandon.
desc_mudada_bone|Malgranda, blankita osto, ŝajne el malgranda besto. Ili ofte estas trovita en tufo de herbo ekstere en la ĉasa tereno, aŭ en la stomako de pli grandaj bestoj.
desc_none|Malplena angulo de la Patapona altaro, kun nur kandeloj kaj incenso
desc_pata_drum|Bonega Tamburo de Forteco. Hatapono gardis tiun tamburon kun lia vivo.
desc_pon_drum|Bonega Tamburo de Kuraĝo. Akirita je konsento por fariĝi la Patapona dio.
desc_rappata_helm|Ĉi tio kasko farita el Rapataa pelto provizas pli facilan movadon kaj donas protekton kontraŭ malvarmo.
desc_rappata_spear|Tre akra lanco farita de ostoj el ĉasitaj Rapataoj. Estas nekredeble malpeza kaj povas trapiki multe da celoj samtempe.
desc_santa_hat|Ĉi tio komforta ĉapelo, trikita je pataponaj avinoj, donas multe da ĝojeco kaj varmeco por la uloj kiuj portas ĝin. Ĝi donas grandega protekto kontraŭ malvarmo.
desc_scorching_spear|La magio ĵetita al ĉi tio lanco igas ĝian pinton bruli. Ĝi kaŭzas masivan damaĝon kaj bruligas malamikojn. La malamikoj estos aromi kiel rostita bovaĵo.
desc_shubaba_mask|Heroa Masko de Spirita Striko. Ĝi donas malgrandan porcion de granda ŝubabasaa potenco, iomete multigas la rapideco de la uzantaj muskoloj kaj permesas ilin por esti pli rapidaj ol aliaj militistoj.
desc_small_rock|Ordinara ŝtono. Ili estas plenaj de malpurecoj, sed tamen ankoraŭ gravaj por triba vivo. Pataponaj infanoj ofte provas ĵeti ilin trans la surfacon de lagoj kaj riveroj.
desc_soggy_map|Karto akirita el enfosita trezora kesto trovita en Ŝidaa Valo. Ĝi markas la lokon de kaŝita fortreso.
desc_steel_spear|Lanco kun akra pinto farita de la rara alojo, ŝtalo. Tiuj lancoj estas pli malpezaj ol feraj lancoj sed ili ŝargas eĉ pli punĉon!
desc_strength_helmet|Ĉi tio magia kasko, dekorita kun farbo de ruĝaj algoj el Bovoo Vulkano, ege pliigas atakon.
desc_tender_meat|Pataponoj amas tiun molan, bongustan viandon, sed ili manĝas ĝin rare, eĉ dum ilia naskiĝotago.
