// # Language: Indonesian
altar_category_armor|Armor
altar_category_key_items|Barang Penting
altar_category_materials|Bahan
altar_category_weapon|Senjata
altar_title|Altar
barracks_depart|Apakah tentu ingin berangkat?
barracks_lvl|Lvl
barracks_stat_attackspeed|Kecepatan
barracks_stat_burnchance|Kemungkinan Membakar
barracks_stat_critchance|Kemungkinan Krit
barracks_stat_damage|Kekuatan
barracks_stat_exp|XP
barracks_stat_freezechance|Kemungkinan Membeku
barracks_stat_hp|HP
barracks_stat_knockbackchance|Kemungkinan Knockback
barracks_stat_level|Level
barracks_stat_staggerchance|Kemungkinan Membingungkan
barracks_unit_status|Status Rombongan
barracks_yaripon|Yaripon
credits_all|Dan semua yang mendukung projek ini! Terima Kasih!
credits_animators|Animator
credits_artists|Artis
credits_community|Pengelola Komunitas
credits_creator|Pencipta Proyek
credits_gameplay|Penyeimbang Gameplay
credits_musicians|Musisi
credits_programmers|Programmer
credits_special|Terima kasih special
credits_supporters|Pendukung
credits_translators|Penerjemah
credits_writers|Penulis
desc_banal_branch|Sebuah cabang kayu biasa. Walaupun ini hanya sebuah cabang kayu, banyak Patapon giat dapat menggunakannya untuk banyak hal, dari pegangan kapak ke tiang tenda.
desc_chaka_drum|Gendang Maha Bijaksana.
desc_cherry_blossom|Menurut legenda, pohon-pohon sakura kuno raksasa di Timur yang menghasilkan kayu ini adalah para dewa yang sedang beristirahat.
desc_christmas_charm_2020|Mempunyai jimat ini di inventaris memberi anda keberuntungan untuk seluruh tahun! Terima kasih telah berpartisipasi di Patafour Winter Event 2020!
desc_digital_blueprint|Sebuah cetak biru yang diambil dari sebuah pondok kecil di benteng Belukar Patapine milik para Kirajin. Cetak biru ini mennunjukan lokasi di mana para Kirajin akan membuat sebuah benteng.
desc_don_drum|Gendang Maha Mukjizat. Pukulan dari gendang ini dapat membuat keinginan apapun Sang Mahakuasa menjadi nyata.
desc_dream_meat|Daging legendaris ini meleleh seperti permen kapas, tetapi para Patapon lebih memilih makanan yang sehat. Patapon yang merasakan kelezatan makanan ini setiap hari diberikan kehidupan yang senang dan damai.
desc_gashirin_bone|Sebuah tulang yang besar dan kokoh. Pernah tertulis bahwa leluhur menggunakan tulang ini sebagai senjata.
desc_gizaza_fang|Ujung taring ini memiliki duri-duri kecil yang tak terhitung. Siapapun yang ditusuk taring ini akan mengalami kesulitan untuk melepaskannya. Bahkan Patapon Medis yang paling terampil kesulitan untuk melepaskannya.
desc_hard_iron|Menuruti mitos-mitos Zigoton, banyak darah telah ditumpahkan dalam berbagai konflik meliputi logam langka ini. Beberapa sage Patapon menceritakan cara leluhur Patapon mengambil besi keras dari dalam gunung, tetapi teknik rahasia ini sudah terlupakan.
desc_hinoki|Legenda berkata bahwa rumah Patapon Mahakuasa terbuat dari kayu Hinoki yang suci. Patapon merasa lega saat mereka masuk ke bangunan yang dibuat dari kayu berharga ini.
desc_iron_helmet|Helm yang terbuat dari besi ini mengikuti desain standar helm kayu, tetapi lebih melindungi.
desc_iron_spear|Tombak Besi yang kuat. Patapon menghargai tombak ini karena tombak ini lebih berat dan lebih menyakiti. Tetapi, prajurit yang lebih kuat dibutuhkan untuk melempar tombak ini secara kompeten.
desc_itete_fang|Taring besar yang mempunyai ujung yang sangat tajam. Sangat terkenal bahwa keterampilan sebuah pemburu dapat diketahui dari jumlah taring Itete yang harus dia lepaskan dari badannya.
desc_kacheek_helm|Helm terbuat dari kulit dan bulu Kachik melindungi pemakainya dari bahaya. Helm ini juga menjaga kehangatan dan kenyamatan pemakainya.
desc_kacheek_spear|Sebuah tombak yang ditempa menggunakan gading Kachik. Tombak ini tajam sekali hingga bisa merusak tameng, menyakiti musuh dengan parah.
desc_keepsake|Kenang-kenangan milik Hatapon. Kenangan-kenangan ini selalu menenangkannya dan mengingatkannya bahwa Sang Mahakuasa akan datang saat dia membutuhkannya.
desc_kirajin_helmet1|Helm segitiga terbuat dari suatu bahan yang seperti besi, memberi atribut-atribut aneh kepada yang memakainya. Helm ini meningkatkan HP dan kekuatan.
desc_kirajin_spear1|Sebuah tombak terbuat dari suatu bahan yang sepertinya besi. Ujungnya sangat tajam, sehingga siapapun dapat berdarah hanya karena menyentuhnya.
desc_kuneri_fang|Sebuah taring indah yang melengkung. Taring ini bisa ditajamkan untuk dipakai sebagai ujung senjata, dan juga bagus sebagai alat.
desc_leather_meat|Patapon tua memberi tahu kepada yang muda, “Jika perutmu penuh, janganlah mengeluh,” dan mereka makanlah.
desc_mudada_bone|Tulang kecil yang telah diputihkan, berasal dari suatu hewan kecil. Tulang ini sering ditemukan di tengah-tengah rumput-rumputan di tempat berburu, atau di dalam perut hewan yang lebih besar.
desc_none|Bagian kosong dari altar Patapon. Hanya ada lilin dan dupa.
desc_pata_drum|Gendang Maha Kuat. Hatapon menjaga ini dengan jiwanya.
desc_pon_drum|Gendang Maha Berani. Didapatkan dengan setuju untuk berkuasa atas Patapon.
desc_rappata_helm|Helm ini terbuat dari bulu Rappata dan membantu gerak lebih mudah sambil memberikan perlindungan dari hawa dingin.
desc_rappata_spear|Tombak yang sangat tajam terbuat dari tulang Rappata. Tombak ini sangat ringan dan dapat menembus beberapa target sekaligus.
desc_santa_hat|Topi nyaman yang dirajut oleh nenek-nenek Patapon ini memberi kebahagian dan kehangatan kepada siapapun yang memakainya. Memberi perlindungan dari hawa dingin.
desc_scorching_spear|Sihir yang dipakai saat membuat tombak ini menghasilkan ujung yang berupa api. Tombak ini sangat kuat dan dapat membakar musuh.
desc_shubaba_mask|Topeng Pahlawan Serangan Hantu. Topeng ini memberi bagian kecil dari kekuatan kecepatan Shubabassa, dengan meningkatkan kecepatan otot pemakai topeng ini, membantunya untuk mengayun lebih cepat dari prajurit lain.
desc_small_rock|Batu biasa. Tidak sempurna, tetapi tetap penting untuk kehidupan suku. Banyak anak-anak Patapon yang suka melemparkannya menyeberang sungai dan danau.
desc_soggy_map|Sebuah peta ditemukan dari sebuah peti di dalam Lembah Shida. Peta ini menandai lokasi sebuah benteng tersembunyi.
desc_steel_spear|Tombak yang ujung tajamnya dibuat dari paduan yang langa, baja. Tombak ini lebih ringan dari tombak besi, tapi bisa lebih menyakiti!
desc_strength_helmet|Helm ajaib ini dihias oleh cat alga merah dari Gunung Bovo, dan meningkatkan kekuatan.
desc_tender_meat|Para Patapon sangat menyukai daging yang lezat lembut ini, tetapi mereka jarang sekali makannya, bahkan di hari ulang tahunnya.
desc_titanum_ore|Legenda berkata bahwa bijih yang keras dan ringan ini diberikan kepada Patapon oleh Mahakuasa. Titanium dapat bertahan selama bertahun-tahun dan merupakan bahan sempurna untuk jenis pasukan yang membutuhkan pergerakan cepat.
desc_wooden_helmet|Helm kayu tradisional asal Patapon. Helm ini adalah merek regu pemburunya, dan meskipun desainnya yang sederhana, helm ini telah menyelamati banyak Patapon.
