// # Language: Russian
altar_category_armor|Броня
altar_category_key_items|Ключевые предметы
altar_category_materials|Материалы
altar_category_weapon|Оружие
altar_title|Алтарь
barracks_depart|Вы точно готовы отправится в поход?
barracks_lvl|Урв
barracks_stat_attackspeed|Скорость атаки
barracks_stat_burnchance|Шанс поджога
barracks_stat_critchance|Шанс крита
barracks_stat_damage|Урон
barracks_stat_exp|Опыт
barracks_stat_freezechance|Шанс заморозки
barracks_stat_hp|Здоровье
barracks_stat_knockbackchance|Шанс отбрасывания
barracks_stat_level|Уровень
barracks_stat_staggerchance|Шанс оглушения
barracks_unit_status|Статистика отряда
barracks_yaripon|Ярипон
credits_all|И все, кто был с нами, поддерживая проект! Спасибо вам!
credits_animators|Аниматоры
credits_artists|Художники
credits_community|Модераторы сообщества
credits_creator|Автор проекта
credits_gameplay|Баланс геймплея
credits_musicians|Композиторы
credits_programmers|Программисты
credits_special|Особая благодарность
credits_supporters|Поддержка
credits_translators|Переводчики
credits_writers|Сценаристы
desc_banal_branch|Обычная деревянная ветка. Хотя это простой кусок дерева, умелый патапон может сделать хоть рукоять для топора, хоть распорку для палатки.
desc_chaka_drum|Великий Барабан Мудрости.
desc_cherry_blossom|По легенде, древние гигантские вишнёвые деревья, от которых была эта ветка, на Востоке считаются покоящимися божествами.
desc_christmas_charm_2020|Пока этот оберег в твоём инвентаре, он будет дарить тебе удачу на целый год! Спасибо за участие в Зимнем  Празднике Patafour 2020!
desc_digital_blueprint|Чертёж, найденный в хижине Кираджинов в Роще Патапайн. На нём отмечена строящаяся крепость Кираджинов.
desc_don_drum|Великий Барабан Чудес. Говорят звук этого барабана может воплотить желания Всемогущего в реальность.
desc_dream_meat|Легендарное мраморное мясо тает как сахарная вата, однако Патапоны предпочитают мясо пожёстче. Те, кто ест этот деликатес каждый день, проживут счастливую и мирную жизнь.
desc_gashirin_bone|Большая крепкая кость. Древние предки когда-то использовали такие кости как оружие.
desc_gizaza_fang|Кончик этого клыка покрыт бессчётными маленькими колючками. Любой, пронзенный этим клыком сильно пострадает пытаясь вынуть его. Даже самые лучшие врачи Патапоны с трудом вытащат его из раненых.
desc_hard_iron|Согласно легенде Зиготонов, много крови было пролито в битвах за владение этим металлом. Патапоны же рассказывают истории о предках, что добывали этот металл в глубине гор. Однако, секреты этого минерала утеряны во времени.
desc_hinoki|Легенда гласит, что дом самого Всемогущего сделан из древесины священного Хиноки. Патапоны успокаиваются и отдыхают внутри построек из этого дерева.
desc_iron_helmet|Шлем, сделанный из ценного железа, сделан на подобие своего деревянного предшественника, но защищает намного лучше.
desc_iron_spear|Прочное железное копьё. Патапонам такие по душе, ведь они тяжелее и урона наносят больше. Однако, для хорошего броска, нужен воин посильнее.
desc_itete_fang|Крупный клык с очень острым концом. Говорят, что талант охотника можно узнать по тому, сколько таких ему пришлось вынуть из своей шеи.
desc_kacheek_helm|Шлем, сшитый из шкуры и меха Качика, защищает носящего от травм. Также держит глаз носящего в тепле и уюте.
desc_kacheek_spear|Копьё сделанное из острого бивня Качика. Достаточно острое, чтобы пробивать щиты, нанося критический урон.
desc_keepsake|Сокровище Хатапона. Оно всегда успокаивало его и напоминало, что Всемогущий вернётся, когда он будет нужен больше всего.
desc_kirajin_helmet1|Треугольный шлем, сделанный из неизвестного материала, напоминающего железо, даёт необычные свойства воину, что его носит. Он поднимает здоровье и усиливает атаки.
desc_kirajin_spear1|Копьё, сделанное из неизвестного материала, напоминающего железо. Его наконечник невероятно остр, можно нечаянно проткнуть себе палец даже слегка коснувшись его.
desc_kuneri_fang|Прекрасный загнутый клык. Можно заточить и сделать наконечник оружия, а можно прикрепить к снаряжению.
desc_leather_meat|Взрослые говорят маленьким Патапонам: "Если съедобно, не жалуйся", и тем приходится есть это мясо.
desc_mudada_bone|Небольшая белая кость, вероятно какого-то мелкого животного. Часто валяются кучами в траве на местах охоты или в желудках зверей побольше.
desc_none|Пустой уголок алтаря. Лишь свечи и благовонья.
desc_pata_drum|Великий Барабан Силы. Хатапон защищал этот барабан своей жизнью.
desc_pon_drum|Великий Барабан Доблести. Получен за согласие стать Богом Патапонов.
desc_rappata_helm|Этот шлем сделанный из меха Раппат позволяет гораздо легче двигаться и даёт защиту от холода.
desc_rappata_spear|Очень острое копьё, сделанное из костей пойманных Раппат. Очень лёгкое и может проткнуть сразу несколько целей.
desc_santa_hat|Эта мягкая шляпа сшитая бабушками Патапонов подарит много радости и тепла тем кто её носит. Даёт сильную защиту от холода.
desc_scorching_spear|Чары, наложенные на это копьё, заставляют его острие гореть. Наносит тяжёлый урон и поджигает противников. Враги поджарятся, как говядина на гриле.
desc_shubaba_mask|Маска Героя Теневого Удара. Дает небольшую часть силы Шубабасы быстрой атак для ускорения мышц, позволяя махать мечами или бросать копья быстрее других воинов.
desc_small_rock|Обыкновенный камень. Полон примесей, но жизненно необходим для племени. Дети Патапоны часто бросаются такими в озёра и реки.
desc_soggy_map|Карта, найденная в зарытом сундуке, найденным в Долине Шида. На ней отмечена спрятанная крепость.
desc_steel_spear|Копьё с заточенным наконечником из редкого сплава, стали. Такие копья легче железных, но бьют даже сильнее!
desc_strength_helmet|Этот магический шлем, расписанный красной краской из вулкана Бово, придаёт мощности атакам.
desc_tender_meat|Патапоны обожают это мягкое, умопомрачительное мясо, но редко едят его, даже на день рождения.
desc_titanum_ore|По легенде, эта прочная, лёгкая руда была дарована Патапонам самим Всемогущим. Она может продержатся веками и это идеальный материал для снаряжения, требующего быстрых движений.
desc_wooden_helmet|Традиционный деревянный шлем племени Патапонов. Символ охотничьих отрядов и несмотря на простенький дизайн, спасал немало жизней солдат.
desc_wooden_spear|Простое деревянное копье, получаемое каждым Патапонам-рекрутом с возрастом, когда они впервые присоединяются к отряду охотников. Ценится многими Патапонами, даже когда они перешли на оружие побольше и получше.
firstrun_dialog_1|Добро пожаловать в демоверсию Patafour!\Нажмите Z для продолжения.
firstrun_dialog_2|Это ваш первый запуск демоверсии,\так что вот немного основной информации.
