// ## main menu
menu_newgame|Нова гра
menu_continue|Продовжити
menu_options|Налаштування
menu_exit|Вихід
// ## options
options_graphics|Графіка
options_audio|Звук
options_input|Ігрові пристрої
options_language|Мова
options_backtomain|Назад в головне меню
options_back|Назад
options_graphics1|Розширення екрану
options_graphics2|Якість текстур
options_graphics3|Згладжування
options_graphics4|Ліміт кадрів/с
options_graphics5|Вмк./Вимк. повний екран
options_graphics6|Вікно без полів
options_unlimited|(нескінченно)
options_quality_low|Низьк.
options_quality_medium|Серед.
options_quality_high|Вис.
options_quality_ultra|Ультра
options_enable|Ввімкнути
options_disable|Вимкнути
options_audio1|Загальне аудіо
options_audio2|Звук барабанів
options_audio3|Спів Патапонів
options_audio4|Відповіді Патапонів
options_volume|Гучність:
options_input1|Налаштування джойстика
options_input_setup1|Переконайтеся, що Ваш контролер під'єднаний до Вашого ПК. Натисніть будь-яку кнопку на джойстику, щоб він з'явився посеред екрану.
options_input_setup2|Натисніть кнопку "Стрілка Вліво".
options_input_setup3|Натисніть кнопку "Стрілка Вправо".
options_input_setup4|Натисніть кнопку "Стрілка Вниз".
options_input_setup5|Натисніть кнопку "Стрілка Вверх".
options_input_setup6|Натисніть кнопку для барабану ПАТА. (Квадрат)
options_input_setup7|Натисніть кнопку для барабану ПОН. (Круг)
options_input_setup8|Натисніть кнопку для барабану ДОН. (Хрест)
options_input_setup9|Натисніть кнопку для барабану ЧАКА. (Трикутник)
options_input_setup10|Натисніть кнопку для переміщення камери вліво. (Трігер L)
options_input_setup11|Натисніть кнопку для переміщення камери вправо. (Трігер R)
options_input_setup12|Натисніть кнопку, що відповідає кнопці Start.
options_input_setup13|Натисніть кнопку, що відповідає кнопці Select.
options_input_setup14|Готово! Ваш контролер був успішно налаштований для гри в Patafour.
options_input_setup_notice| Кнопка зареєстрована.
options_input_setup_again|Спробути знову
options_input_setup_next|Наступне
options_input_setup_return|Повернутися до налаштувань
options_language1|Змінити мову
options_language_ukrainian|Ukrainian
options_language_<yourlanguage>|<Translators: put your language here!>
options_restart_notice|Щоби зміни вступили в силу, треба перезапустити гру. Перезапустити зараз?
options_restart_button1|Перезапустити гру
options_restart_button2|Нічого не змінювати
// ## patapolis
patapolis|Патаполіс
patapolis_trader|Ринок
patapolis_blacksmith|Ковальня
patapolis_barracks|Казарма
patapolis_tree|Матер, дерево життя
patapolis_festival|Площа для фестивалів
patapolis_altar|Алтарь
patapolis_obelisk|Обеліск
patapolis_paraget|Парагет
patapolis_wakapon|Вакапон, Охоронець
patapolis_egg|Яйце світу
// ## altar
altar_title|Алтарь
altar_item_title|Test Item
altar_item_category|Test Category
altar_item_description|This is a testing description. It needs to be long enough to span multiple lines, so that we can test the scrolling function of the description text field.
// ## barracks
barracks_testunitname|Герой
barracks_test_stat_text|999,999,999/999,999,999
barracks_unitstatus|Статус юніта
barracks_lvl|Рівень
barracks_exp|Досвід
barracks_dmg|Шкода
barracks_hp|Здоров'я
barracks_crit|Крит
barracks_attack_speed|Швид. атк.
// ## world map
worldmap_header_1|Карта cвіту Патапонів
worldmap_select|Оберіть міссію
worldmap_location_locked|~ Зачинено! ~
worldmap_location_1_title|~ Долина Шіда ~
worldmap_location_1_description|Завдяки морському бризу, ця долина стала ідеальним місцем для розвитку багатьох рослин, тому і папороті там такі величезні! Протягом багатьох років на цій долині полювали на диких тварин та виращували овочі. Незвичайний пейзаж велитенських рослин дуже дізорієнтує, а також є чутки про таємні, заховані секрети.
worldmap_location_2_title|~ Гай Патапайн ~
worldmap_location_2_description|Сосни з цього гаю відомі своєю висотою та матеріальною твердістю. Патапонські лісоруби зароблюють собі на життя, зрубаючи ці сосни. Є чутки, що феї живуть від магічних грибів, далеко у гаю.
worldmap_location_3_title|~ Скелі Еджіджі ~
worldmap_location_3_description|Колись давно, на скелях Еджіджі проживали могутні дракони, але причину їх зникнання не знає жодна душа Ролітоленду. Зате, це місце прижилося для будувань схованих домівок та фортець. Рарепони типу Ґ'яба з'явились і живуть на цих скелях, але більшість з них мігрували до інших місць по всьому світу.
worldmap_mission_1_title|Полювання у долині Шіда
worldmap_mission_1_description|Багато тварин збирається у долині, щоб посмакувати рослини та гриби. І тому зараз є шанс пополювати на них, щоб нагодувати Патапонів! Є чутки, що на цій долині є таємний скарб.
worldmap_mission_2_title|Фортеця у лісі
worldmap_mission_2_description|Кіраджіни збудували озброєний табір у гаю Патапайн! Вони збудували фортецю за допомогою твердих сосен, що росте у цьому гаю. Збери армію і повали фортецю!
worldmap_mission_3_title|Фортеця Кіраджінів у гаю Патапайн: Рівень 
worldmap_mission_3_description|Хоч ти і переміг Кіраджінів, але вони повернулися з більшими силами. Вони нізащо не віддадуть свою територію. Повали цю фортецю знову, щоб ослабити Кіраджінів!
worldmap_mission_4_title|Покращене озброєння
worldmap_mission_4_description|Патапонські розвідники дізналися про конструкцію величезної фортеці Кіраджінів для перемоги проти сил Патапонів у скелях Еджіджі. Згідно з їх слів, майбутня фортеця озброєна потужною силою Кіраджінів, небаченою жодним Патапоном. Храбро та безстрашно зруйнуй фортецю до закінчення її будування!
worldmap_mission_5_title|Беззупинні Кіраджіни у скелях Еджіджі: Рівень 
worldmap_mission_5_description|Кіраджіни не дозволять собі бути переможеними, навіть після зруйнування їх фортеці. Вони будуть битися за цю землю, навіть за своє життя. Меден похмуро попереджує, “Буде ще важче, ніж в останній раз”.
// ## missiondata
mission_complete|МІСІЯ ВИКОНАНА!
mission_failed|МІСІЯ ПРОВАЛЕНА!
intro_cutscene_1|Ласкаво просимо у першу демо-версію Patafour!
intro_cutscene_2|У цій версії є багато з чим пограти, а також пару схованих секретів. Зможеш знайти їх всіх?
intro_cutscene_3|О, Всемогутній Патапон, я благаю Тебе... 
Intro_cutscene_4|Племені Патапонів дуже потрібна твоя допомога!
intro_cutscene_5|Загублені у Долині Шіда, вони не можуть повернутися додому без твоїх барабанів і керувань.
intro_cutscene_6|Відбивай ПАТА ПАТА ПАТА ПОН під музику, щоб маршувати уперед!
intro_cutscene_7|Коли Патапони закінчать свою пісню, бий ще раз в барабани.
outro_cutscene_1|Дякуємо, що пограли у демо-версію!
outro_cutscene_2|Нам було дуже приємно працювати над Patafour для вас!
outro_cutscene_3|Ми, команда Patafour, дуже сподіваємось, що вам сподобалось. Ми для вас вилили серце і душу.
outro_cutscene_4|Кіраджіни ще повернуться... і вони будуть ще сильніше...
outro_cutscene_5|Чи зможеш ти відбити їх армію та повернути захоплену землю Пата-Пол?
outro_cutscene_6|Вивчи Стародавні Мистецтва від найпершого плем'я Патапонів, і проведи свою армію до перемоги.
outro_cutscene_7|Іншим плем'ям також потрібна твоя допомога, Всемогутній [PLAYER_NAME]...
outro_cutscene_8|Врятуй світ у повній версії Patafour!
outro_end|Дякуємо за гру!
// # credits
credits_creator|Творець проєкту
credits_programmers|Програмісти
credits_artists|Художники
credits_animators|Аніматори
credits_musicians|Музиканти
credits_gameplay|Баланс гри
credits_community|Менеджери спільноти
credits_writers|Письменники
credits_translators|Перекладачі
credits_supporters|Прихильники
credits_special|Щиро дякуємо
credits_all|І всім, хто підтримував проєкт! Дякуємо!
// # New Game Text
newgame_what_is_your_name|Ласкаво просимо, Всемогутній! Як ми тебе будемо називати?
newgame_name_error_prompt|Ваше ім'я повинно бути між 2 та 50 символів.
newgame_game_save_created|Файл збереження створено.
newgame_welcome|Ласкаво просимо, Всемогутній.
newgame_welcome2|Ти готовий грати в демо-версію Patafour?
// ## items
item_wooden_spear|Дерев'яний спис
desc_wooden_spear|Простий дерев'яний спис, який дають кожному Патапону на перші свої полювання. Багато Патапонів їх зберігають, навіть коли в них з'являються зброя покраще.
item_iron_spear|Залізний спис
desc_iron_spear|Жорсткий, залізний спис. Патапони їх цінують, бо вони важче і шкодливіше, але треба бути достатньо сильним, щоб його добре кидати.
item_steel_spear|Стальний спис
desc_steel_spear|Спис, на верхівці якого рідкісний сплав - сталь. Ці списи легші ніж залізні списи, і шкодять більше! 
item_kacheek_spear|Спис качіка
desc_kacheek_spear|Спис, зкований з гострого бивня Качіка. Гострість списа може пробити щит ворога, додаючи критичну шкоду.
item_shubaba_mask|Шуба
desc_shubaba_mask|Маска героя фантомного удару. Додає маленьку частину сили великого Шубабасси, додаючи швидкість мускулам носію маски, що додає швидкість до атаки.
item_none|Нічого!
desc_none|Пустий куток Патапонського алтаря... лише свічки та запах ладану...
item_banal_branch|Вітка
desc_banal_branch|Проста дерев'яна вітка. На вигляд хоч і просто шматок дерева, досвідчений Патапон знайде багато використань для неї, від ручки сокири до стовпа намету.
item_cherry_blossom|Квітка вишні
desc_cherry_blossom|По легенді, ці вітки походять від стародавніх східних вишневих дерев, що насправді є спочиваючими божествами.
item_small_rock|Камінь
desc_small_rock|Простий камінь. Хоч і не найліпший матеріал, але все одно важливий для життя племені. Патапонські діти часто стрибають на них посеред річок та озер.
item_hard_iron|Залізо
desc_hard_iron|По міфам Зіготонів, багато крові було пролито лиш заради цього матеріалу. Патапонські історії розсказувають про предків, що добували залізо з середин гір, але секрет до цього був втрачений серед поколінь.
item_leather_meat|Шкіряне м'ясо
desc_leather_meat|Дідусі росказують своїм онукам: "Якщо ти від цього ситий, то прошу мене не сварити". Так вони і вчаться їсти це м'ясо.
item_tender_meat|Ніжне м'ясо
desc_tender_meat|Патапони дуже люблять їсти це смачне і ніжне м'ясо, але вони дуже рідко його їдять, навіть на днях народження.
item_pon_drum|Барабан "Пон"
desc_pon_drum|Чарівний барабан доблесті. Ти його отримав, підписавши контракт та ставши Богом Патапонів.
item_pata_drum|Барабан "Пата"
desc_pata_drum|Чарівний барабан сили. Хатапон захищав його всім своїм життям.
item_chaka_drum|Барабан "Чака"
desc_chaka_drum|Чарівний барабан мудрості.
item_don_drum|Барабан "Дон"
desc_don_drum|Чарівний барабан чуда. Звук цього барабану перетворює волю Всемогутнього у істоту.
item_keepsake|Сувенір
desc_keepsake|Сувенір Хатапона. Він завжди його заспокойував, і нагадував Хатапону, що Всемогутній завжди прийде у трудну годину.
item_wooden_helmet|Дерев'яний шолом
desc_wooden_helmet|Традиційний дерев'яний шолом племені Патапонів. Символізує мисливські групи Патапонів, і, хоч і виглядає слабко, зберіг багато життів войових Патапонів.
item_iron_helmet|Залізний шолом
desc_iron_helmet|Цей шолом з коштовного заліза виглядає так само, як і дерев'яний шолом, але захищає набагато краще.
item_kacheek_helm|Шолом Качіка
desc_kacheek_helm|Цей шолом зі шкури та хутра захищає носія від шкоди, а також дуже теплий і м'який для його ока.
item_mudada_bone|Кістка Мудада
desc_mudada_bone|Маленька, біла кістка з маленької тваринки. Їх часто знаходять у грудках трави та шлунках великих тварин.
item_gashirin_bone|Кістка Ґашірін
desc_gashirin_bone|Велика та твірда кістка. У літописах згадується, що стародавні Патапони мали ці кістки як зброю.
item_kuneri_fang|Ікло Кунері
desc_kuneri_fang|Пишне, викривлене ікло. Його можна підточити, і використовувати як зброю.
item_itete_fang|Ікло Ітете
desc_itete_fang|Велике ікло з дуже гострим кінцем. Чим більш цих ікол мисливець з себе висмикував, тим більш він досвідчений.
item_soggy_map|Брудна Мапа
desc_soggy_map|Мапа з закопаної скрині у Долині Шіда. На неї - місце захованої фортеці.
item_digital_blueprint|Цифровий План Креслення
desc_digital_blueprint|План креслення з хутора Кіраджінів у Гаю Патапайн. На ньому - місце будування величезної фортеці.
item_category_material|Матеріали
item_category_weapon|Зброя
item_category_masks|Маски
item_category_masks|Броня
item_category_nothing|Пусте місце!
// ## enemies
enemy_kacheek|Качік
enemy_mochichi|Мочічі
enemy_kirajin|Кіраджін
// ## rarepons
rarepon_normal|Звичайний
rarepon_normal_desc|Звичайний воїн племені Патапонів. Відомі своїм стоїцизмом та хоробрістю. Хоч вони і маленькі, але з хорошим мисленням вони можуть все!
// ## navigation
nav_next|Далі
nav_previous|Назад
nav_nextpage|Наступ. сторінка
nav_previouspage|Попер. сторінка
nav_enter|Увійти
nav_leave|Вийти
nav_exit|Вийти
nav_savegame|Зберегти гру
nav_exittotitle|Вийти на головне меню
nav_left|Вліво
nav_right|Вправо
nav_up|Вверх
nav_down|Вниз
nav_circle|Круг
nav_triangle|Трикутник
nav_square|Квадрат
nav_cross|Хрест
nav_move|Переміщатися
nav_scroll|Прокрутити
nav_yes|Так
nav_no|Ні
nav_agree|Згоден
// ## main menu NEW
menu_pressanykey|Натисніть будь-яку клавішу, щоб почати.
menu_saveexists|Вже існує файл збереження.\Хочете його перезаписати?
menu_nodata|Файл збереження не знайдено.
menu_nosupportdata|Файли зі старих версій\Patafour не підтримуються.
