// # Language: Vietnamese
altar_category_armor|Giáp
altar_category_key_items|Vật quan trọng
altar_category_materials|Nguyên liệu
altar_category_weapon|Vũ khí
altar_title|Đền thờ
barracks_depart|Bạn có chắc là muốn xuất quân không?
barracks_lvl|Cấp
barracks_stat_attackspeed|Tốc đánh
barracks_stat_burnchance|Tỉ lệ thiêu đốt
barracks_stat_critchance|Tỉ lệ chí mạng
barracks_stat_damage|Sát thương
barracks_stat_exp|Kinh nghiệm
barracks_stat_freezechance|Tỉ lệ đóng băng
barracks_stat_hp|Máu
barracks_stat_knockbackchance|Tỉ lệ đẩy lùi
barracks_stat_level|Cấp độ
barracks_stat_staggerchance|Tỉ lệ gây choáng
barracks_unit_status|Thông tin
barracks_yaripon|Yaripon
credits_all|Và mọi người đã hỗ trợ dự án này! Cảm ơn!
credits_animators|Họat họa viên
credits_artists|Họa sĩ
credits_community|Quản lý cộng đồng
credits_creator|Chủ dự án
credits_gameplay|Cân bằng trải nghiệm game
credits_musicians|Nhạc sĩ
credits_programmers|Lập trình viên
credits_special|Lời cảm ơn tới
credits_supporters|Những người hỗ trợ
credits_translators|Biên dịch viên
credits_writers|Người viết
desc_banal_branch|Một nhánh gỗ cơ bản. Mặc dù nó có thể chỉ là một mảnh gỗ đơn giản, nhưng một người bảo trợ dám nghĩ dám làm có thể tìm thấy nhiều công dụng cho những thứ này, từ cán rìu đến cột lều.
desc_chaka_drum|Trống Thần Của Sự Thông Thái.
desc_cherry_blossom|Theo truyền thuyết, những cây anh đào khổng lồ cổ xưa mà nhánh gỗ cứng này bắt nguồn từ phương Đông là những vị thần đang yên nghỉ.
desc_christmas_charm_2020|Giữ tấm bùa này trong kho sẽ giúp bạn gặp may suốt năm! Cảm ơn bạn đã tham dư sự kiên Mùa Đông Patafour 2020!
desc_digital_blueprint|Một bản thiết kế được tìm thấy bên trong một túp lều Kirajin tại Rừng Patapine. Nó cho thấy vị trí của một pháo đài Kirajin sắp được xây dựng.
desc_don_drum|Trống Thần Của Những Phép Màu
desc_dream_meat|Món thịt thần thoại này tan chảy như kẹo bông, nhưng Patapons thích một bữa ăn đầy đủ hơn. Những Patapon mà được nếm món ngon này hàng ngày được có cuộc sống hạnh phúc và bình yên.
desc_gashirin_bone|Một khúc xương lớn và chắc chắn. Tương truyền đã viết rằng tổ tiên xa xưa của Patapon đã từng sử dụng những mảnh xương này làm vũ khí.
desc_gizaza_fang|Đầu của chiếc răng nanh này chứa vô số ngạnh nhỏ. Bất cứ ai bị chiếc nanh này đâm vào sẽ phải trả một cái giá khủng khiếp khi họ cố gắng loại bỏ nó. Ngay cả những bác sĩ Patapon lành nghề nhất cũng phải vật lộn để lấy chiếc răng nanh này ra khỏi cơ thể nạn nhân.
desc_hard_iron|Máu đã đổ trong các cuộc xung đột xung quanh kim loại quý hiếm này theo thần thoại Zigoton. Những câu chuyện về Patapon kể về cách tổ tiên từng lấy sắt cứng từ trong lòng núi, nhưng bí mật về điều này đã bị thất truyền qua nhiều thời đại.
desc_hinoki|Truyền thuyết kể rằng ngay cả ngôi nhà của Thần Patapon cũng được dựng nên từ gỗ Hinoki linh thiêng này. Patapons cảm thấy an toàn và nghỉ ngơi khi bước vào bên trong những ngôi nhà được làm từ loại gỗ quý này.
desc_iron_helmet|Loại mũ này, được làm từ sắt quý, bắt chước kiểu thiết kế tiêu chuẩn của mũ gỗ, nhưng có khả năng bảo vệ tốt hơn.
