// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|Novo jogo
menu_continue|Continuar
menu_options|Opções
menu_exit|Sair
// ## options
options_graphics|Opções gráficas
options_audio|Configurações de áudio
options_input|Configurações de teclas
options_language|Configurações de linguagem
options_backtomain|Voltar para menu principal
options_back|Voltar
options_graphics1|Resoluçao
options_graphics2|Qualidade da textura
options_graphics3|Anti aliasing
options_graphics4|Limite de frames
options_graphics5|Tela cheia
options_graphics6|Janela sem borda
options_unlimited|(ilimitado)
options_quality_low|Baixo
options_quality_medium|Medio
options_quality_high|Alto 
options_quality_ultra|Ultra
options_enable|Ligar
options_disable|Desligar
options_audio1|Volume Geral
options_audio2|Volume dos instrumentos
options_audio3|Instrumentos
options_audio4|Respostas dos patapons
options_volume|Volume:
options_input1|Configuraçao do controle
options_input_setup1|Verifique se o seu controle está conectado ao seu PC. Pressione qualquer botão no seu controle e ele deverá aparecer no meio da tela
options_input_setup2|Pressione a seta esquerda
options_input_setup3|Pressione a seta direita
options_input_setup4|Pressione a seta de baixo
options_input_setup5|Pressione a seta de cima
options_input_setup6|Pressione o botão de PATA (quadrado)
options_input_setup7|Pressione o botão de PON (circulo)
options_input_setup8|Pressione o botão de DON (X)
options_input_setup9|Pressione o botão de CHAKA (triângulo)
options_input_setup10|Pressione o botão de mover a camera para a esquerda
options_input_setup11|Pressione o botão de mover a camera para a direita
options_input_setup12|Pressione o botão de começar
options_input_setup13|Pressione o botão de seleccionar
options_input_setup14|Tudo prontinho
options_input_setup_notice|Controle registrado
options_input_setup_again|Tente de novo
options_input_setup_next|Próximo
options_input_setup_return|Voltar para opções
options_language1|Mudar lingua
options_language_english|English
options_language_<yourlanguage>|
options_restart_notice|Você precisa reiniciar o jogo para aplicar as alterações. Reiniciar agora?
options_restart_button1|Reiniciar
options_restart_button2|voltar mudanças 
// ## patapolis
patapolis|Patapolis
patapolis_trader|Centro de comercio
patapolis_blacksmith|Ferreiro
patapolis_barracks|Quarteis
