// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|新游戏
menu_continue|继续游戏
menu_options|系统设置
menu_exit|退出游戏
// ## options
options_graphics|图像
options_audio|音频
options_input|控制
options_language|语言
options_backtomain|返回至主菜单
options_back|返回
options_graphics1|分辨率
options_graphics2|画质
options_graphics3|抗锯齿
options_graphics4|帧数限制
options_graphics5|全屏显示
options_graphics6|无边框窗口化
options_unlimited|（无限制）
options_quality_low|低
options_quality_medium|中
options_quality_high|高
options_quality_ultra|极高
options_enable|开启
options_disable|禁用
options_audio1|主音量
options_audio2|太鼓音量
options_audio3|咏唱音量
options_audio4|Patapon反馈音量
options_volume|音量：
options_input1|控制器设定
options_input_setup1|请确认你的控制器已连接至电脑，点按任意键，其会显示在屏幕中央
options_input_setup2|请按左键
options_input_setup3|请按右键
options_input_setup4|请按下键
options_input_setup5|请按上键
options_input_setup6|请按PATA太鼓对应按键（□）
options_input_setup7|请按PON太鼓对应按键（○）
options_input_setup8|请按DON太鼓对应按键（×）
options_input_setup9|请按CHAKA太鼓对应按键（△）
options_input_setup10|请按视角左移对应按键（Left）
options_input_setup11|请按视角右移对应按键（Right）
options_input_setup12|请按START对应按键
options_input_setup13|请按SELECT对应按键
options_input_setup14|搞定！你的控制器现在准备好畅玩Patafour了！
options_input_setup_notice|按键映射已成功写入
options_input_setup_again|重试
options_input_setup_next|下一个
options_input_setup_return|返回设置
options_language1|更改语言
options_language_english|英语
options_language_<yourlanguage>|<简体中文>
options_restart_notice|需要重启游戏以应用改动，现在重启？
options_restart_button1|重启游戏
options_restart_button2|撤销改动
// ## patapolis
patapolis|基地
patapolis_trader|市集
patapolis_blacksmith|铁匠铺
patapolis_barracks|兵营
patapolis_tree|玛地鲁之树
patapolis_festival|节庆广场
patapolis_altar|供奉圣坛
patapolis_obelisk|伟大的欧别力克
patapolis_paraget|啪啦门
patapolis_wakapon|守桥人哇咔PON
patapolis_egg|世界蛋
// ## altar
altar_title|供奉圣坛
altar_item_title|测试物品
altar_item_category|测试类别
altar_item_description|这是一个测试用描述，对物品描述框的多排文字数量上限进行压力测试，以防止特殊情况下出现的问题。PATAFOUR终于不咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕了！爷青结！
// ## barracks
barracks_testunitname|英雄
barracks_test_stat_text|999,999,999/999,999,999
barracks_unitstatus|状态
barracks_lvl|等级
barracks_exp|经验
barracks_dmg|攻击力
barracks_hp|生命值
barracks_crit|会心一击
barracks_attack_speed|攻击速度
// ## world map
worldmap_header_1|世界地图
worldmap_select|选择任务
worldmap_location_locked|～未解锁～
worldmap_location_1_title|～汐达溪谷～
worldmap_location_1_description|穿过山谷的潮湿海风给当地高耸入云的蕨类植物创造了绝佳的生长环境。
从古至今，许多部族在这肥沃的土地上捕猎与采摘，
传言在这巨大而迷幻的丛林之中藏有珍宝。
worldmap_location_2_title|～啪嗒松林～
worldmap_location_2_description|这里的松木因挺拔和坚固而成为闻名于世的建筑素材，
Patapon樵夫们也依靠采伐它们以维持生计，
传说在丛林深处生活着以蘑菇为食的倩丽仙女。
worldmap_location_3_title|～艾吉龙峭～
worldmap_location_3_description|早在巨龙以诺黎兰的居民们无从知晓的方式消失于家乡之前，
这里还是一处适合安营扎寨的广阔平原。
起源于此的一些稀有的迦巴PON时至今日仍居住在峭壁之上，但他们血亲的盛名早已广为人知。
worldmap_mission_1_title|在汐达溪谷狩猎吧！
worldmap_mission_1_description|许多动物聚集在山谷之中寻找美味的植物和蘑菇，好好利用这个机会来填饱Patapon的肚子吧！传闻山谷中隐藏着不为人知的宝藏哦！
worldmap_mission_2_title|松林中的堡垒
worldmap_mission_2_description|卡拉锵已经在茂密的啪嗒松林里建立了据点！他们利用周围的坚固树木搭建起堡垒，集结你的部队将他们拿下，同时要提防潜伏在丛林深处的生物！
worldmap_mission_3_title|松林堡垒攻略战：Lv.
worldmap_mission_3_description|卡拉锵上一次或许已经被击败了，但这一次他们卷土重来，更加强大，并且做好了不惜一切代价死守的准备。再一次攻破他们，击退卡拉锵的军队！
worldmap_mission_4_title|奇技利器
worldmap_mission_4_description|Patapon斥候队报告卡拉锵正为了对付Patapon们而在艾吉龙峭上建造一座巨大要塞。根据报告，卡拉锵使用了PATAPON从未见过的秘密技术。鼓起勇气，在要塞完工之前摧毁它！
worldmap_mission_5_title|艾吉龙峭上的利刃：Lv.
worldmap_mission_5_description|要塞被摧毁之后的卡拉锵下定决心不会允许自己又一次的失败，他们准备好为守住这个地点流尽最后一滴血。美典严肃的警告“这将会是一场更加艰难的决斗。”
// ## missiondata
mission_complete|任 务 完 成 ！
mission_failed|任 务 失 败……
intro_cutscene_1|欢迎来到PATAFOUR的首个试玩版本！
intro_cutscene_2|本次试玩有很多内容，以及一些藏起来的彩蛋~你能把它们都找出来吗？
intro_cutscene_3|神明大人，我在此祈求您......
Intro_cutscene_4|PATAPON一族比以往更加需要您的帮助！
intro_cutscene_5|绝望地迷失在汐达溪谷，需要您神圣的太鼓才能引导迷失方向的他们回家
intro_cutscene_6|敲响太鼓！配合节拍敲响PATA PATA PATA PON 前进！
intro_cutscene_7|四个节拍的唱词结束之后，再次敲响太鼓！
outro_cutscene_1|感谢您的游玩！
outro_cutscene_2|我们因能为您制作Patafour而感到兴奋！
outro_cutscene_3|PATAFOUR制作团队衷心希望你能喜欢它，我们为此倾尽了心血
outro_cutscene_4|卡拉锵会以更加强大的姿态卷土重来
outro_cutscene_5|你能击败他们，夺回PATAPON们的故乡，啪嗒保拉吗？
outro_cutscene_6|从古老的PATAPON文化中汲取经验，带领你的军队走向胜利
outro_cutscene_7|其它的部落也会需要你，神明[PLAYER_NAME]……
outro_cutscene_8|在完整版的PATAFOUR里拯救世界吧！
outro_end|感谢您的游玩！！！
// # credits
credits_creator|主创
credits_programmers|程序
credits_artists|美术
credits_animators|动画
credits_musicians|音乐
credits_gameplay|游戏平衡调试
credits_community|社区运营
credits_writers|编剧
credits_translators|翻译
credits_supporters|技术支持
credits_special|特别鸣谢
