// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|Nova ludo
menu_continue|Kontinui
menu_options|Opcioj
menu_exit|Eliri
// ## options
options_graphics|Grafika opcioj
options_audio|Sona opcioj
options_input|Eniga opcioj
options_language|Lingva opcioj
options_backtomain|Reiri al cxefa menuo
options_back|Reiri
options_graphics1|Ekrandistingivo
options_graphics2|Kvalito de teksturo
options_graphics3|Glatigo
options_graphics4|Limo de filmer-rapido
options_graphics5|Sxalti plenan ekranon
options_graphics6|Senbordera fenestro
options_unlimited|(senlima)
options_quality_low|Malalta
options_quality_medium|Meza
options_quality_high|Alta
options_quality_ultra|Ultra
options_enable|Sxalti
options_disable|Malsxalti
options_audio1|Cxefa lauxteco
options_audio2|Sono de tamburoj
options_audio3|Tamburaj kantoj de Pataponoj
options_audio4|Respondoj de Pataponoj
options_volume|Lauxteco:
options_input1|Agordo de regilo
options_input_setup1|Certigxu pri via regilo estas ligita en via komputilo. Premu ian butonon en via regilo kaj gxi devos aperi en la centro de la ekrano.
options_input_setup2|Bonvolu premi la klavon de sago maldekstren.
options_input_setup3|Bonvolu premi la klavon de sago dekstren.
options_input_setup4|Bonvolu premi la klavon de sago malsupren.
options_input_setup5|Bonvolu premi la klavon de sago supren.
options_input_setup6|Bonvolu premi la klavon ke estas responda por frapado de la PATA tamburo. (Kvadrato)
options_input_setup7|Bonvolu premi la klavon ke estas responda por frapado de la PON tamburo. (Cirklo)
options_input_setup8|Bonvolu premi la klavon ke estas responda por frapado de la DON tamburo. (Kruco)
options_input_setup9|Bonvolu premi la klavon ke estas responda por frapado de la CXAKA tamburo. (Triangulo)
options_input_setup10|Bonvolu premi la klavon ke estas responda por movado de observadopunkto maldekstren. (Maldekstra baskulo)
options_input_setup11|Bonvolu premi la klavon ke estas responda por movado observadopunkto dekstren. (Dekstra baskulo)
options_input_setup12|Bonvolu premi la ekvivalenton de la Start klavo.
options_input_setup13|Bonvolu premi la ekvivalenton de la Select klavo.
