// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|Nouvelle partie
menu_continue|Continuer
menu_options|Options
menu_exit|Quitter
// ## options
options_graphics|Graphismes
options_audio|Son
options_input|Contrôles
options_language|Langues
options_backtomain|Retour au menu principal
options_back|Retour
options_graphics1|Résolution d’écran
options_graphics2|Qualité de texture
options_graphics3|Anticrénélage
options_graphics4|Limite d’image par seconde
options_graphics5|Plein-écran
options_graphics6|Plein-écran fenêtré
options_unlimited|Illimité
options_quality_low|Faible
options_quality_medium|Moyen
options_quality_high|Haute
options_quality_ultra|Ultra
options_enable|Activer
options_disable|Désactiver
options_audio1|Son principal
options_audio2|Son tambour
options_audio3|Chants et tambour Patapon
options_audio4|Réponses Patapon
options_volume|Volume
options_input1|Paramètres manette
options_input_setup1|Vérifier la connexion de votre manette. Appuyez sur n’importe quel bouton de votre manette et elle apparaîtra au milieu de l’écran.
options_input_setup2|Appuyer sur la flèche de gauche.
options_input_setup3|Appuyer sur la flèche de droite.
options_input_setup4|Appuyer sur la flèche du bas.
options_input_setup5|Appuyer sur la flèche du haut.
options_input_setup6|Appuyer sur la touche du tambour PATA. (Carré)
options_input_setup7|Appuyer sur la touche du tambour PON. (Cercle)
options_input_setup8|Appuyer sur la touche du tambour DON. (Croix)
options_input_setup9|Appuyer sur la touche du tambour CHAKA. (Triangle)
options_input_setup10|Appuyer sur la touche pour déplacer la caméra à gauche. (gâchette L)
options_input_setup11|Appuyer sur la touche pour déplacer la caméra à droite. (gâchette R)
options_input_setup12|Appuyer sur l'équivalent de la touche Start
options_input_setup13|Appuyer sur l'équivalent de la touche Select
options_input_setup14|Et voilà ! Votre manette est prête pour jouer à Patafour.
options_input_setup_notice|Touche enregistrée avec succès.
options_input_setup_again|Réessayer
options_input_setup_next|Suivant
options_input_setup_return|Retour aux options
options_language1|Changer de langue
options_language_english|English
options_language_french|Français
options_restart_notice|Redémarrage nécessaire pour appliquer les paramètres. Redémarrer maintenant ?
options_restart_button1|Redémarrer le jeu
options_restart_button2|Annuler les changements
// ## patapolis
patapolis|Patapolis
patapolis_trader|Marché
patapolis_blacksmith|Forgeron
patapolis_barracks|Caserne
patapolis_tree|Mater, Arbre de la Vie
patapolis_festival|Place du festival
patapolis_altar|Totem
patapolis_obelisk|Obélisque
patapolis_paraget|Paraget
patapolis_wakapon|Wakapon, le Gardien
patapolis_egg|Oeuf du monde
// ## altar
altar_title|Totem
altar_item_title|Test Objet
altar_item_category|Test Catégorie
altar_item_description|C’est un test de description . Elle doit être suffisamment longue pour couvrir plusieurs lignes, afin que nous puissions tester la fonction du défilement du champ de texte.
// ## barracks
barracks_testunitname|Héro
barracks_test_stat_text|999,999,999/999,999,999
barracks_unitstatus|Statut de l'unité
barracks_lvl|Niv
barracks_exp|Exp
barracks_dmg|Dgs
barracks_hp|Pv
barracks_crit|Crit
barracks_attack_speed|Vit Atq
// ## world map
worldmap_header_1|Carte du monde de Patapon
worldmap_select|Sélectionner une quête
worldmap_location_locked|~ Bloqué ~
worldmap_location_1_title|~ Vallée Shida ~
worldmap_location_1_description|L’air humide de la mer qui souffle dans cette vallée en fait un habitat parfait pour les plantes de toutes sortes, permettant aux fougères éphémères de pousser à des hauteurs énormes ! Pendant des générations, diverses tribus ont utilisé cette zone fertile comme zone pour chasser les animaux et cueillir des légumes sauvages. Son étrange paysage de plantes géantes peut être désorientant et des rumeurs persistent à propos de secrets cachés quelque part dans la région.
worldmap_location_2_title|~ Le Bosquet Patapine ~
