// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|Game Baru
menu_continue|Teruskan
menu_options|Pengaturan
menu_exit|Keluar
// ## options
options_graphics|Grafik
options_audio|Audio
options_input|Input
options_language|Bahasa
options_backtomain|Kembali ke menu
options_back|Kembali
options_graphics1|Resolusi Layar
options_graphics2|Kualitas Tekstur
options_graphics3|Anti-Aliasing
options_graphics4|Batas Framerate
options_graphics5|Layar Penuh
options_graphics6|Berjendela
options_unlimited|(tidak dibatas)
options_quality_low|Rendah
options_quality_medium|Sedang
options_quality_high|Tinggi
options_quality_ultra|Sangat Tinggi
options_enable|Aktifkan
options_disable|Nonaktifkan
options_audio1|Volume Utama
options_audio2|Suara Gendang
options_audio3|Nyanyian Gendang Patapon
options_audio4|Balasan Patapon
options_volume|Volume:
options_input1|Aturan Kontroler
options_input_setup1|Pastikan kontroler tersambung ke PC-mu. Tekan tombol apapun di kontrolermu dan tombol tersebut akan muncul di tengah layar.
options_input_setup2|Silahkan tekan tombol panah kiri.
options_input_setup3|Silahkan tekan tombol panah kanan.
options_input_setup4|Silahkan tekan tombol panah bawah.
options_input_setup5|Silahkan tekan tombol panah atas.
options_input_setup6|Silahkan tekan tombol untuk memainkan gendang PATA. (Kotak)
options_input_setup7|Silahkan tekan tombol untuk memainkan gendang PON. (Lingkaran)
options_input_setup8|Silahkan tekan tombol untuk memainkan gendang DON. (Silang)
options_input_setup9|Silahkan tekan tombol untuk memainkan gendang CHAKA. (Segititga)
options_input_setup10|Silahkan tekan tombol untuk menggeserkan kamera ke kiri. (Trigger Kiri)
options_input_setup11|Silahkan tekan tombol untuk menggeserkan kamera ke kanan. (Trigger Kanan)
options_input_setup12|Silahkan tekan tombol Start.
options_input_setup13|Silahkan tekan tombol Select.
options_input_setup14|Selesai! Kontrolermu sekarang siap dipakai untuk main Patafour.
options_input_setup_notice| terdaftar sebagai tombol kontroler.
options_input_setup_again|Coba Lagi
options_input_setup_next|Lanjut
options_input_setup_return|Kembali ke pengaturan
options_language1|Ganti Bahasa
options_language_english|Bahasa Inggris
options_language_indonesian|Bahasa Indonesia
options_restart_notice|Anda harus restart game agar perubahan berlaku. Restart sekarang?
options_restart_button1|Restart game
options_restart_button2|Kembalikan Perubahan
// ## patapolis
patapolis|Patapolis
patapolis_trader|Pasar
patapolis_blacksmith|Tukang Besi
patapolis_barracks|Barak
patapolis_tree|Mater, Pohon Kehidupan
patapolis_festival|Alun-alun Festival
patapolis_altar|Altar
patapolis_obelisk|Tugu
patapolis_paraget|Paraget
patapolis_wakapon|Wakapon Sang Penjaga
patapolis_egg|Telur Dunia
// ## altar
altar_title|Altar
altar_item_title|Item Test
altar_item_category|Kategori Test
altar_item_description|Ini adalah kategori test. Deskripsi ini harus mencapai beberapa baris agar kita dapat menguji fungsi scrolling dalam bidang teks deskripsi ini.
// ## barracks
barracks_testunitname|Sang Pahlawan
barracks_test_stat_text|999.999.999/999.999.999
barracks_unitstatus|Status Rombongan
barracks_lvl|Lvl
barracks_exp|Exp
barracks_dmg|Dmg
barracks_hp|HP
barracks_crit|Krit
barracks_attack_speed|Kecepatan
// ## world map
worldmap_header_1|Peta Dunia Patapon
worldmap_select|Pilih Petualangan
worldmap_location_locked|~ Terkunci ~
worldmap_location_1_title|~ Lembah Shida~
