// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu|Menù Principale 
menu_newgame|Nuova Partita
menu_continue|Continua
menu_options|Opzioni
menu_exit|Esci 
// ## optioni
options_graphics|Impostazioni Grafiche
options_audio|Impostazioni Audio
options_input|Comandi
options_language|Seleziona Lingua
options_backtomain|Torna al Menù Principale
options_back|Indietro
options_graphics1|Risoluzione dello schermo
options_graphics2|Qualità delle texture
options_graphics3|Anti-aliasing
options_graphics4|Limite framerate
options_graphics5|Passa a schermo intero
options_graphics6|Finestra senza bordi
options_unlimited|(Non limitato)
options_quality_low|Qualità Bassa
options_quality_medium|Qualità Media
options_quality_high|Qualità Alta
options_quality_ultra|Qualità Ultra
options_enable|Attiva
options_disable|Disattiva
options_audio1|Volume principale
options_audio2|Volume dei tamburi 
options_audio3|Risposta dei Patapon ai tamburi
options_audio4|Canto dei Patapon
options_volume|Volume:
options_input1|Configurazione controller
options_input_setup1|Assicurati che il controller sia collegato al computer. Premi un qualsiasi tasto su di esso e dovrebbe apparire al centro dello schermo 
options_input_setup2|Premi la freccia sinistra
options_input_setup3|Premi la freccia destra
options_input_setup4|Premi la freccia giù
options_input_setup5|Premi la freccia su 
options_input_setup6|Premi il tasto corrispondente a PATA (Quadrato)
options_input_setup7|Premi il tasto corrispondente a PON (Cerchio)
options_input_setup8|Premi il tasto corrispondente a DON (Croce)
options_input_setup9|Premi il tasto corrispondente a CHAKA (Triangolo)
options_input_setup10|Premi il tasto corrispondente a muovere la telecamera a sinistra (grilletto sinistro)
options_input_setup11|Premi il tasto corrispondente a muovere la telecamera a destra (grilletto destro)
options_input_setup12|Premi il tasto corrispondente a Start
options_input_setup13|Premi il tasto corrispondente a Select
options_input_setup14|Fatto! Il tuo controller è pronto per giocare a Patafour.
options_input_setup_notice|Tasto registrato con successo.
options_input_setup_again|Prova di nuovo 
options_input_setup_next|Avanti
options_input_setup_return|Ritorna alle opzioni
options_language1|Cambia lingua
options_language_english|Inglese
options_language_<yourlanguage>|Italiano
