// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|ニューゲーム
menu_continue|コンティニュー
menu_options|オプション
menu_exit|終了
// ## options
options_graphics|グラフィック
options_audio|オーディオ
options_input|キー設定
options_language|言語
options_backtomain|メインメニューへ
options_back|戻る
options_graphics1|解像度
options_graphics2|画質
options_graphics3|アンチエイリアス
options_graphics4|最大FPS
options_graphics5|フルスクリーンモード
options_graphics6|ボーダーレスウィンドウ
options_unlimited|制限無し
options_quality_low|低
options_quality_medium|中
options_quality_high|高
options_quality_ultra|最高
options_enable|有効
options_disable|無効
options_audio1|ボリューム設定
options_audio2|タイコの音
options_audio3|パタポンの歌
options_audio4|パタポンの返答
options_volume|ボリューム
options_input1|コントローラー設定
options_input_setup1|コントローラーがPCに接続されているか確認してください。\コントローラーのボタンを押すと画面中央に表示されます。
options_input_setup2|パタの太鼓を叩くために該当するキーを押してください(□)
options_input_setup3|ポンの太鼓を叩くために該当するキーを押してください(○)
options_input_setup4|ドンの太鼓を叩くために該当するキーを押してください(×)
options_input_setup5|チャカの太鼓を叩くために該当するキーを押してください(△)
options_input_setup6|カメラを左に動かすために該当するキーを押してください(L)
options_input_setup7|カメラを右に動かすために該当するキーを押してください(R)
options_input_setup8|左矢印キーを押してください
options_input_setup9|右矢印キーを押してください
options_input_setup10|上矢印キーを押してください
options_input_setup11|下矢印キーを押してください
options_input_setup12|STARTボタンに該当するキーを押してください
options_input_setup13|SELECTボタンに該当するキーを押してください
options_input_setup14|全て完了しました！これでコントローラーでPatafourをプレイすることができます。
options_input_setup_notice|コントローラーキーの登録に成功しました。
options_input_setup_again|もう一度試してください。
options_input_setup_next|次へ
options_input_setup_return|オプションに戻る
options_language1|言語変更
options_language_english|英語
options_language_<yourlanguage>|日本語
options_restart_notice|設定を反映させるには再起動が必要です。再起動しますか？
options_restart_button1|ゲームを再起動する
options_restart_button2|変更を破棄する
// ## patapolis
patapolis|パタポリス
patapolis_trader|マーケット
patapolis_blacksmith|カジヤン
patapolis_barracks|キャンパ
patapolis_tree|ツリー
patapolis_festival|祭り
patapolis_altar|アルタル
patapolis_obelisk|オベリク
patapolis_paraget|パラゲト
patapolis_wakapon|守護者ワカポン
patapolis_egg|エッグ
// ## altar
altar_title|アルタル
altar_item_title|テスト　アイテム
altar_item_category|テスト　カテゴリー
altar_item_description|テスト用の説明欄です。複数行になっても充分な大きさが必要であるため、この説明欄のスクロール機能をテストしています。
// ## barracks
barracks_testunitname|ヒーロー
barracks_test_stat_text|999,999,999/999,999,999
barracks_unitstatus|ステータス
barracks_lvl|レベル
barracks_exp|経験値
barracks_dmg|攻撃力
barracks_hp|体力
barracks_crit|クリティカル
barracks_attack_speed|攻撃速度
// ## world map
worldmap_header_1|パタポン　ワールドマップ
worldmap_select|クエストを選んで下さい
worldmap_location_locked|〜ロックされています〜
worldmap_location_1_title|シダ渓谷
worldmap_location_1_description|この渓谷に吹き込む湿った海の空気は、あらゆる種類の植物にとって完璧な生息地となり、原産のシダがとてつもない高さまで成長することを可能にしている。何世代にもわたって、様々な部族がこの肥沃な地域を動物狩りや山菜採集の場所として利用してきた。巨大な植物が織りなす奇妙な風景には戸惑うことがあり、この谷のどこかに隠された秘密があるという噂が後を絶たない。
worldmap_location_2_title|パタパイン木立
worldmap_location_2_description|この木立にある松の木は、その巨大な高さと建築材としての頑丈さで有名だ。木こりをしているパタポンは、この地で建設用である松の木を伐採して生計を立てていることが知られている。噂によると、妖精たちが森の奥深くにある食用キノコを食べて暮らしているのだとか。
worldmap_location_3_title|エッジッジ断崖
worldmap_location_3_description|
エッジッジ断崖は、かつてロリートランドの住民に「知られていない理由で生まれた場所」から絶滅する前の強大なドラゴンの時代を見た場所であり、人目につかない場所に家や要塞を建てるのに適した場所である。ジャイバ・レアポン族はこの地域を起源としており、現在も一部のパタポン族が崖の上に生息しているが、これらのパタポン族の多くはその後、世界中に広まっていくこととなった。worldmap_mission_1_title|シダ渓谷で狩りをしよう！
worldmap_mission_1_description|この渓谷には多くの生物が集まり、食用の植物やキノコ類を見つけるチャンス！このチャンスを利用して、パタポンの食料となる生き物を狩ろう！噂では、この谷には未知の宝が隠されているらしい。
worldmap_mission_2_title|木々の要塞
worldmap_mission_2_description|パタパイン木立に、キラジン族が拠点を築いていた! 周りの丈夫な木を使って、要塞を作ろうとしている。森の生き物に警戒しながら、力を集めてキラジン族の要塞を破壊しよう！
worldmap_mission_3_title|パタパイン木立とキラジン要塞:Lv.
worldmap_mission_3_description|キラジン族は敗北したと思われていたがまた木立に現れていた。以前よりも強くなっており、どんな犠牲を払おうともこの地を守ると決意しているようだ。もう一度要塞を破壊し、キラジン族を食い止めよう！
worldmap_mission_4_title|高度な武装
worldmap_mission_4_description|パタポンの諜報員によると、エッジッジ断崖の中で、キラジン族がパタポン軍に対する作戦の拠点となる巨大な要塞の建設に着手し始めたとのこと。また、この要塞はキラジン族の強力な技術で強化されており、パタポン軍がこれまで見たことがないような力を持っている。勇気と恐れを隣り合わせに、この要塞を完成させる前に破壊しよう。
worldmap_mission_5_title|執拗なキラジン族とエッジッジ断崖
worldmap_mission_5_description|一度要塞を破壊した後も、キラジン族は敗北を認めない。たとえ命を犠牲にしてでも、この場所のために戦うことを決意している。「前回の戦いよりもさらに厳しい戦いになるでしょう。」と、メデンは警告する。
// ## missiondata
mission_complete|MISSION COMPLETE!
mission_failed|MISSION FAILED!
intro_cutscene_1|Patafour体験版へようこそ！
intro_cutscene_2|この体験版には沢山のコンテンツで遊べるだけでなく、いくつか隠された秘密だってあります。あなたはそれを全て見つけられますか？
intro_cutscene_3|かみさま、おねがいです。
Intro_cutscene_4|パタポン族は今まで以上のあなたを必要としています！
intro_cutscene_5|シダ渓谷で絶望的に彷徨っている彼らを導けるのはあなたとその聖なるタイコしかありません。
intro_cutscene_6|リズムに合わせてパタ　パタ　パタ　ポン　で彼らは前に進みます。
intro_cutscene_7|パタポンが4小節の歌を終えたらもう一度タイコを叩いてください。
outro_cutscene_1|体験版をプレイして頂き、誠にありがとうございました！
outro_cutscene_2|プレイしてみてどうだったでしょうか？
outro_cutscene_3|Patafourチームは皆様に気に入って頂けることを心なら願っており、\その為に心と魂を注ぎました。
outro_cutscene_4|キラジン族は今まで以上に強くなってまた帰ってくるでしょう...
outro_cutscene_5|彼らを撃退し、失われた故郷\パタポーラを取り戻してくれますか？
outro_cutscene_6|これからもパタポン族を勝利に導いていきましょう！
outro_cutscene_7|他の部族もあなたを必要とするでしょう、かみさま...
outro_cutscene_8|フルバージョンになったPatafourの世界も是非救ってください！
outro_end|プレイして頂きありがとうございました！
// # credits
credits_creator|Project creator 
credits_programmers|Programmers
credits_artists|Artists
credits_animators|Animators
credits_musicians|Musicians
credits_gameplay|Gameplay balance
credits_community|Community managers
credits_writers|Writers
credits_translators|Translators 
credits_supporters|Supporters
credits_special|Special thanks
credits_all|And everyone ever supported the project! Thank you!
// # New Game Text
newgame_what_is_your_name|おかえりなさい、かみさま！あなたの名前はなんと言いますか？
newgame_name_error_prompt|名前は2文字以上50文字以内でお願いします。
newgame_game_save_created|
newgame_welcome|セーブファイルの作成が完了しました。
newgame_welcome2|Patafour体験版の世界へ入る準備はよろしいですか？
// ## items
item_wooden_spear|木の槍
desc_wooden_spear|基本的な木製の槍で、パタポンの新兵が初めて部隊に加わった時に与えられる。彼らがより大きく、より良い武器に移行した後も、多くのパタポン族によって大切にされている。
item_iron_spear|鉄の槍
desc_iron_spear|頑丈な鉄の槍。より重く、より多くのダメージを与えることができるため、パタポン達からは好評である。しかし、これらの槍を上手に投げるためには、パタポンのより強い力が必要だ。
item_steel_spear|鋼の槍
desc_steel_spear|希少な合金である鋼で作られた槍で、先端がよく研ぎ澄まされている。鉄の槍よりも軽いがパンチの効く槍である。
item_kacheek_spear|カーチクの槍
desc_kacheek_spear|カーチクの鋭い牙で作られた槍。その鋭さは盾を貫通し、致命的なダメージを与えるのに十分な威力を持つ。
item_shubaba_mask|シュバ
desc_shubaba_mask|ファントムストライクのヒーローマスク。偉大なるシュババッサの速攻力の一部を付与し、装着した者の筋肉の速度をわずかに上昇させ、他の戦士よりも速く攻撃ことができるようになる。
item_none|何もない
desc_none|線香とロウソクだけが供えられたパタポン祭壇。
item_banal_branch|ヨクアル枝
desc_banal_branch|普通の木の枝。ただの木の一部分かもしれないが、パタポン族は、これまで斧のハンドルやテントポールなど、多くの用途を見つけてきた。
item_cherry_blossom|サクラン
desc_cherry_blossom|東方では古い巨木に神が宿るといわれている。
item_small_rock|石ころ
desc_small_rock|ありふれた石。不純物が多く含まれているが、それでもパタポン族の生活には欠かせない。パタポンの子供達はしばしば湖や川で水切りをして遊んでいる。
item_hard_iron|かちん鉄
desc_hard_iron|ジゴトンの伝説ではこの希少な金属を奪い合って多くの血を流したといわれている。パタポン族では昔の祖先が山の中からかちん鉄を取っていたという話だが、時の流れを経てその秘密は消失してしまっている。
item_leather_meat|がちがち肉
desc_leather_meat|くさくて固い肉ではあるが、「味の良し悪しよりもまず満腹になれること」とは、パタポンの格言である
item_tender_meat|ふく〜ら肉
desc_tender_meat|脂がほどよくのった軟らかい肉。パタポンたちの大好物だが、誕生日にだってそうそう食べられない
item_pon_drum|ポンの太鼓
