// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|Nueva Partida
menu_continue|Continuar
menu_options|Ajustes
menu_exit|Salir
// ## options
options_graphics|Ajustes gráficos
options_audio|Audio
options_input|Ajustes de Controles
options_language|Idioma
options_backtomain|Volver al Menú Principal
options_back|Atrás
options_graphics1|Resolución de la pantalla
options_graphics2|Calidad de texto
options_graphics3|Antialiasing
options_graphics4|Límite de cuadros por segundo
options_graphics5|Cambiar a pantalla completa
options_graphics6|Ventana sin bordes
options_unlimited|Ilimitado
options_quality_low|Baja
options_quality_medium|Media
options_quality_high|Alta
options_quality_ultra|Ultra
options_enable|Habilitar
options_disable|Inhabilitar
options_audio1|Volumen Maestro
options_audio2|Sonidos del tambor
options_audio3|Cantos de tambor por Patapon
options_audio4|Respuestas de Patapon
options_volume|Volumen
options_input1|Configurar Mando
options_input_setup1|Asegúrese de que su control esté conectado a su PC. Pulsa cualquier botón en su control y este debería aparecer en el medio de la pantalla.
options_input_setup2|Por favor presione la tecla de flecha izquierda.
options_input_setup3|Por favor pulsa la tecla de flecha derecha.
options_input_setup4|Por favor pulsa la tecla de flecha abajo.
options_input_setup5|Por favor pulsa la tecla de flecha arriba.
options_input_setup6|Por favor pulsa la tecla asignada para el tambor PATA (Cuadrado)
options_input_setup7|Por favor pulsa la tecla a asignar al tambor PON (Círculo)
options_input_setup8|Por favor pulsa la tecla a asignar al tambor DON (Cruz)
options_input_setup9|Por favor pulsa la tecla a asignar al tambor CHAKA (Triángulo)
options_input_setup10|Por favor pulsa la tecla a asignar para mover la cámara hacia la izquierda (Gatillo L)
options_input_setup11|Por favor pulsa la tecla a asignar para mover la cámara hacia la derecha (Gatillo R)
options_input_setup12|Por favor pulsa el equivalente al botón Start.
options_input_setup13|Por favor pulsa el equivalente al botón Select.
options_input_setup14|¡Listo! Tu control ahora está listo para jugar Patafour.
options_input_setup_notice|Tecla del control registrada correctamente.
options_input_setup_again|Intenta otra vez
options_input_setup_next|Siguiente
